Day,Old Testament,Psalms,Proverbs,New Testament
142,1Ch 9:1- 11:9,Ps 115; 116,Pr 25:1-5,Jn 7:1-36
143,1Ch 11 :10-13:14,Ps 117:1-16,Pr 25:6-11,Jn 7:37-8:2
144,1Ch 14:1-16:35,Ps 117:17-29,Pr 25:12-16,Jn 8:3-30
145,1Ch 16 :36-19:19,Ps 118:1-16,Pr 25:17-21,Jn 8:31-59
146,1Ch 20-22,Ps 118:17-32,Pr 25:22-26,Jn 9:1-12
147,1Ch 23-25,Ps 118:33-48,Pr 25:27-31,Jn 9:13-41
148,1Ch 26; 27,Ps 118:49-64,Pr 26:1-5,Jn 10:1-21
149,1Ch 28; 29,Ps 118:65-80,Pr 26:6-9,Jn 10:22-42
150,2Ch 1- 4,Ps 118:81-96,Pr 26:10-13,Jn 11:1-37
151,2Ch 5; 6,Ps 118:97-112,Pr 26:14-17,Jn 11:38-57
152,2Ch 7- 9,Ps 118:113-128,Pr 26:18-23,Jn 12:1-28
153,2Ch 10-13,Ps 118:129-144,Pr 26:24-29,Jn 12:29-50
154,2Ch 14-17,Ps 118:145-160,Pr 27:1-6,Jn 13:1-17
155,2Ch 18-20,Ps 118:161-176,Pr 27:7-12,Jn 13:18-38
156,2Ch 21:1-24:14,Ps 119; 120,Pr 27:13-18,Jn 14
157,2Ch 24 :15-26:23,Ps 121; 122,Pr 27:19-24,Jn 15
158,2Ch 27-29,Ps 123; 124,Pr 27:25-29,Jn 16
159,2Ch 30-32,Ps 125; 126,Pr 28:1-5,Jn 17
161,2Ch 35 ; 36,Ps 129; 130,Pr 28:12-15,Jn 18:28 -19:4
162,1Ez 1:1-2:11,Ps 131,Pr 28:16-20,Jn 19:5-24
163,1Ez 2:12-4:42,Ps 132; 133,Pr 28:21-25,Jn 19:25-42
164,1Ez 4:43-5:45,Ps 134:1-12,Pr 28:26-30,Jn 20
165,1Ez 5:46-7:15,Ps 134:13-21,Pr 29:1-6,Jn 21
166,1Ez 8:1-70,Ps 135:1-15,Pr 29:7-12,Acts 1
167,1Ez 8:71-9:55,Ps 135:16-26,Pr 29:13-18,Acts 2:1-21
168,2Ez 1-3,Ps 136; 137,Pr 29:19-23,Acts 2:22-47
169,2Ez 4:1-6:14,Ps 138:1-12,Pr 29:24-28,Acts 3
170,2Ez 6:15-8:30,Ps 138:13-24,Pr 30:1-5,Acts 4:1-22
171,2Ez 8:31-10:44,Ps 139,Pr 30:6-10,Acts 4:23-37
172,Neh 1- 3,Ps 140,Pr 30:11-15,Acts 5:1-16
173,Neh 4:1- 7:3,Ps 141,Pr 30:16-21,Acts 5:17-42
174,Neh 7:4- 8:18,Ps 142,Pr 30:22-25,Acts 6
175,Neh 9- 11,Ps 143,Pr 30:26-30,Acts 7:1-21
176,Neh 12 ; 13,Ps 144:1-9,Pr 30:31-35,Acts 7:22-43
177,Tb 1-3,Ps 144:10-21,Pr 31:1-5,Acts 7:44-60
178,Tb 4-6,Ps 145,Pr 31:6-9,Acts 8:1-25
179,Tb 7-11,Ps 146; 147,Pr 31:10-15,Acts 8:26-40
180,Tb 12-14,Ps 148,Pr 31:16-20,Acts 9:1-18
181,Jdt 1-4,Ps 149,Pr 31:21-25,Acts 9:19-43
182,Jdt 5-7,Ps 150; 151,Pr 31:26-30,Acts 10:1-23
183,Jdt 8-10,Ps 1; 2,Pr 1:1-5,Acts 10:24-48
184,Jdt 11-13,Ps 3; 4,Pr 1:6-10,Acts 11
185,Jdt 14-16,Ps 5,Pr 1:11-15,Acts 12
186,Est 1; 2,Ps 6,Pr 1:16-19,Acts 13:1-25
187,Est 3; 4,Ps 7,Pr 1:20-24,Acts 13:26-52
188,Est 5:1-8:12,Ps 8,Pr 1:25-29,Acts 14
189,Est 8:12a-10:3k,Ps 9:1-17,Pr 1:30-35,Acts 15:1-21
190,1Mc 1:1- 2:14,Ps 9:18-39,Pr 2:1-5,Acts 15:22-41
191,1Mc 2:15-3:41,Ps 10; 11,Pr 2:6-9,Acts 16:1-18
192,1Mc 3:42-4:61,Ps 12; 13,Pr 2:10-16,Acts 16:19-40
193,1Mc 5:1- 6:17,Ps 14; 15,Pr 2:17-23,Acts 17:1-15
195,1Mc 8:1- 9:53,Ps 17:1-17,Pr 3:6-10,Acts 18
196,1Mc 9:54-10:58,Ps 17:18-32,Pr 3:11-16,Acts 19:1-22
197,1Mc 10:59 -11:53,Ps 17:33-51,Pr 3:17-22,Acts 19:23-41
198,1Mc 11:54 -13:11,Ps 18,Pr 3:23-27,Acts 20:1-16
199,1Mc 13:12 -14:24,Ps 19,Pr 3:28-32,Acts 20:17-38
200,1Mc 14:25 -16:24,Ps 20,Pr 3:33-38,Acts 21:1-16
201,2Mc 1; 2,Ps 21:1-19,Pr 4:1-8,Acts 21:17-40
202,2Mc 3:1- 4:29,Ps 21:20-32,Pr 4:9-12,Acts 22:1-29
203,2Mc 4:30-6:31,Ps 22; 23,Pr 4:13-18,Acts 22:30 -23:11
204,2Mc 7:1- 8:20,Ps 24:1-11,Pr 4:19-23,Acts 23:12-35
205,2Mc 8:21-10:23,Ps 24:12-22,Pr 4:24-28,Acts 24
206,2Mc 10:24 -12:16,Ps 25,Pr 5:1-6,Acts 25
207,2Mc 12:17 -14:17,Ps 26,Pr 5:7-14,Acts 26
208,2Mc 14:18 -15:39,Ps 27,Pr 5:15-19,Acts 27:1-20
209,3Mc 1; 2,Ps 28,Pr 5:20-23,Acts 27:21-44
210,3Mc 3; 4,Ps 29,Pr 6:1-6,Acts 28
211,3Mc 5,Ps 30:1-14,Pr 6:7-12,Rom 1
212,3Mc 6; 7,Ps 30:15-25,Pr 6:13-16,Rom 2
213,Job 1; 2,Ps 31,Pr 6:17-19,Rom 3
214,Job 3; 4,Ps 32:1-12,Pr 6:20-25,Rom 4
215,Job 5; 6,Ps 32:13-22,Pr 6:26-31,Rom 5
216,Job 7; 8,Ps 33:1-11,Pr 6:32-36,Rom 6
217,Job 9; 10,Ps 33:12-23,Pr 6:37-40,Rom 7
218,Job 11-13,Ps 34:1-16,Pr 7:1-6,Rom 8:1-17
219,Job 14 ; 15,Ps 34:17-28,Pr 7:7-12,Rom 8:18-39
220,Job 16-18,Ps 35,Pr 7:13-20,Rom 9:1-13
221,Job 19; 20,Ps 36:1-20,Pr 7:21-24,Rom 9:14-33
222,Job 21; 22,Ps 36:21-40,Pr 7:25-27,Rom 10
223,Job 23-25,Ps 37:1-11,Pr 8:1-5,Rom 11:1-15
224,Job 26-28,Ps 37:12-23,Pr 8:6-10,Rom 11:16-36
225,Job 29; 30,Ps 38,Pr 8:11-16,Rom 12
226,Job 31; 32,Ps 39,Pr 8:17-21,Rom 13
227,Job 33:1-34:9,Ps 40,Pr 8:22-26,Rom 14
229,Job 36; 37,Ps 43:1-9,Pr 8:32-35,Rom 15:22-33
230,Job 38,Ps 43:10-27,Pr 9:1-6,Rom 16
231,Job 39; 40,Ps 44,Pr 9:7-11,1Co 1
232,Job 41; 42,Ps 45,Pr 9:12-15,1Co 2
233,Ecc 1; 2,Ps 46,Pr 9:16-20,1Co 3
234,Ecc 3:1- 5:6,Ps 47,Pr 9:21-25,1Co 4
235,Ecc 5:7- 7:29,Ps 48:1-10,Pr 10:1-6,1Co 5
236,Ecc 8:1- 10:10,Ps 48:11-21,Pr 10:7-11,1Co 6
237,Ecc 10:11-12:14,Ps 49:1-15,Pr 10:12-16,1Co 7:1-24
238,SS 1; 2,Ps 49:16-23,Pr 10:17-22,1Co 7:25-40
239,SS 3; 4,Ps 50:1-10,Pr 10:23-27,1Co 8
240,SS 5; 6,Ps 50:11-21,Pr 10:28-33,1Co 9
241,SS 7; 8,Ps 51,Pr 11:1-5,1Co 10 :1-13
242,WSol 1; 2,Ps 52; 53,Pr 11:6-10,1Co 10 :14-11:1
243,WSol 3; 4,Ps 54:1-12,Pr 11:11-15,1Co 11 :2-16
244,WSol 5; 6,Ps 54:13-24,Pr 11:16-20,1Co 11 :17-34
245,WSol 7; 8,Ps 55,Pr 11:21-25,1Co 12 :1-30
246,WSol 9; 10,Ps 56,Pr 11:26-30,1Co 12 :31-13:13
247,WSol 11:1- 12:11,Ps 57,Pr 12:1-5,1Co 14 :1-25
248,WSol 12:12-13:19,Ps 58,Pr 12:6-10,1Co 14:26-40
249,WSol 14,Ps 59,Pr 12:11-15,1Co 15 :1-34
250,WSol 15:1- 16:14,Ps 60,Pr 12:16-20,1Co 15 :35-58
251,WSol 16:15-18:4,Ps 61,Pr 12:21-25,1Co 16
252,WSol 18:5- 19:22,Ps 62,Pr 12:26-31,2Co 1:1-22
253,WSir 1; 2,Ps 63,Pr 13:1-5,2Co 1:23 -2:17
254,WSir 3; 4,Ps 64,Pr 13:6-10,2Co 3
255,WSir 5; 6,Ps 65,Pr 13:11-15,2Co 4
256,WSir 7; 8,Ps 66,Pr 13:16-21,2Co 5
257,WSir 9; 10,Ps 67:1-20,Pr 13:22-27,2Co 6
258,WSir 11; 12,Ps 67:21-36,Pr 14:1-5,2Co 7
259,WSir 13; 14,Ps 68:1-20,Pr 14:6-10,2Co 8
260,WSir 15; 16,Ps 68:21-37,Pr 14:11-15,2Co 9
261,WSir 17; 18,Ps 69,Pr 14:16-20,2Co 10
263,WSir 21; 22,Ps 70:14-24,Pr 14:26-30,2Co 11 :16-33
264,WSir 23:1- 24:18,Ps 71,Pr 14:31-36,2Co 12
265,WSir 24:19-25:25,Ps 72:1-14,Pr 15:1-5,2Co 13
266,WSir 26; 27,Ps 72:15-28,Pr 15:6-10,Gal 1
267,WSir 28; 29,Ps 73:1-11,Pr 15:11-15,Gal 2
268,WSir 30; 31,Ps 73:12-23,Pr 15:16-20,Gal 3
269,WSir 32; 33,Ps 74,Pr 15:21-26,Gal 4
270,WSir 34; 35,Ps 75,Pr 15:27-32,Gal 5
271,WSir 36; 37,Ps 76:1-10,Pr 15:33-38,Gal 6
272,WSir 38:1- 39:11,Ps 76:11-21,Pr 16:1-5,Eph 1
273,WSir 39:12 -40:30,Ps 77:1-17,Pr 16:6-10,Eph 2
274,WSir 41; 42,Ps 77:18-37,Pr 16:11-15,Eph 3
275,WSir 43:1- 44:18,Ps 77:38-55,Pr 16:16-20,Eph 4:1-24
276,WSir 44:19-45:26,Ps 77:56-72,Pr 16:21-25,Eph 4:25-5:14
277,WSir 46; 47,Ps 78,Pr 16:26-31,Eph 5:15-33
278,WSir 48; 49,Ps 79,Pr 17:1-5,Eph 6
279,WSir 50,Ps 80,Pr 17:6-10,Php 1
280,WSir 51,Ps 81,Pr 17:11-15,Php 2
281,Hos 1; 2,Ps 82,Pr 17:16-20,Php 3:1-4:1
282,Hos 3-5,Ps 83,Pr 17:21-25,Php 4:2-23
283,Hos 6; 7,Ps 84,Pr 17:26-30,Col 1
284,Hos 8; 9,Ps 85,Pr 18:1-5,Col 2
285,Hos 10:1-12:7,Ps 86,Pr 18:6-11,Col 3:1-4:1
286,Hos 12:8-14:10,Ps 87,Pr 18:11-17,Col 4:2-18
287,Am 1:1-5:3,Ps 88:1-19,Pr 18:18-23,1Th 1
288,Am 5:4-9:15,Ps 88:20-38,Pr 19:1-6,1Th 2
289,Mic 1-4,Ps 88:39-53,Pr 19:7-12,1Th 3
290,Mic 5-7,Ps 89,Pr 19:13-18,1Th 4
291,Joel 1- 4,Ps 90,Pr 19:19-24,1Th 5
292,Ob,Ps 91,Pr 19:25-29,2Th 1
293,Jon 1- 4,Ps 92,Pr 20:1-5,2Th 2
294,Nah 1- 3,Ps 93:1-15,Pr 20:6-10,2Th 3
295,Hab 1- 3,Ps 93:16-23,Pr 20:11-15,1Ti 1
297,Hag 1; 2,Ps 95,Pr 20:21-25,1Ti 3
298,Zec 1- 5,Ps 96,Pr 21:1-5,1Ti 4
299,Zec 6- 9,Ps 97; 98,Pr 21:6-10,1Ti 5
300,Zec 10-14,Ps 99; 100,Pr 21:11-15,1Ti 6
301,Mal 1-3,Ps 101:1-15,Pr 21:16-20,2Ti 1
302,Is 1-4,Ps 101:16-29,Pr 21:21-25,2Ti 2
303,Is 5-9,Ps 102:1-12,Pr 21:26-30,2Ti 3
304,Is 10-14,Ps 102:13-22,Pr 22:1-5,2Ti 4
305,Is 15-21,Ps 103:1-18,Pr 22:6-10,Tts 1
306,Is 22-26,Ps 103:19-35,Pr 22:11-15,Tts 2
307,Is 27-30,Ps 104:1-15,Pr 22:16-20,Tts 3
308,Is 31-36,Ps 104:16-27,Pr 22:21-26,Phm
309,Is 37-40,Ps 104:28-45,Pr 22:27-31,Heb 1
310,Is 41-43,Ps 105:1-15,Pr 23:1-5,Heb 2
311,Is 44-47,Ps 105:16-31,Pr 23:6-12,Heb 3
312,Is 48-51,Ps 105:32-48,Pr 23:13-18,Heb 4
313,Is 52-57,Ps 106:1-14,Pr 23:19-23,Heb 5
314,Is 58-62,Ps 106:15-30,Pr 23:24-27,Heb 6
315,Is 63-66,Ps 106:31-43,Pr 23:28-32,Heb 7
316,Jer 1- 3,Ps 107,Pr 23:33-36,Heb 8
317,Jer 4- 6,Ps 108:1-20,Pr 24:1-6,Heb 9
318,Jer 7- 9,Ps 108:21-31,Pr 24:7-12,Heb 10:1-18
319,Jer 10-13,Ps 109; 110,Pr 24:13-18,Heb 10:19-39
320,Jer 14-16,Ps 111; 112,Pr 24:19-23,Heb 11:1-22
321,Jer 17-19,Ps 113:1-11,Pr 24:24-27,Heb 11:23-40
322,Jer 20-22,Ps 113:12-26,Pr 24:29-34,Heb 12:1-27
323,Jer 23-26,Ps 114,Pr 24:35-39,Heb 12:28-13:25
324,Jer 27; 28,Ps 115; 116,Pr 25:1-5,Jas 1
